200.69,99.3982
200.695,112.542
200.7,124.638
200.705,136.082
200.71,147.264
200.715,156.05
200.72,162.012
200.725,166.285
200.73,167.543
200.735,164.381
200.74,157.792
200.745,147.491
200.75,132.249
200.755,113.895
200.76,94.0724
200.765,72.1441
200.77,49.6538
200.775,29.6596
200.78,11.8791
200.785,-4.54222
200.79,-17.7576
200.795,-27.4726
200.8,-35.6598
200.805,-42.0444
200.81,-46.0936
200.815,-49.5461
200.82,-52.295
200.825,-52.6844
200.83,-51.9953
200.835,-51.7166
200.84,-50.576
200.845,-48.5962
200.85,-47.4279
200.855,-46.3738
200.86,-44.5683
200.865,-43.4526
200.87,-42.8769
200.875,-41.2867
200.88,-40.0599
200.885,-40.2693
200.89,-40.052
200.895,-39.3834
200.9,-39.5735
200.905,-39.1826
200.91,-37.5042
200.915,-36.8184
200.92,-37.318
200.925,-36.9298
200.93,-36.2886
200.935,-36.6483
200.94,-36.6658
200.945,-36.0605
200.95,-36.196
200.955,-36.1675
200.96,-35.3473
200.965,-35.5565
200.97,-36.7407
200.975,-37.3279
200.98,-38.2774
200.985,-40.0045
200.99,-40.1983
200.995,-38.9473
201,-38.3941
201.005,-38.0145
201.01,-37.44
201.015,-38.2127
201.02,-39.2931
201.025,-37.7806
201.03,-34.1222
201.035,-29.7947
201.04,-23.7076
201.045,-15.9511
201.05,-8.61895
201.055,-2.23285
201.06,3.73534
201.065,8.64986
201.07,13.1273
201.075,18.1183
201.08,21.2109
201.085,20.2532
201.09,15.8581
201.095,7.44511
201.1,-5.19636
201.105,-18.5514
201.11,-29.5302
201.115,-38.3762
201.12,-44.7364
201.125,-47.6533
201.13,-49.1409
201.135,-50.952
201.14,-52.258
201.145,-53.2905
201.15,-54.1818
201.155,-50.6353
201.16,-35.74
201.165,-0.0711621
201.17,64.2057
201.175,151.379
201.18,235.58
201.185,286.524
201.19,284.361
201.195,230.336
201.2,147.159
201.205,64.4886
201.21,1.95845
201.215,-36.4559
201.22,-54.364
201.225,-58.023
201.23,-55.7488
201.235,-52.8464
201.24,-49.6262
201.245,-46.5795
201.25,-44.8207
201.255,-42.8305
201.26,-39.4269
201.265,-35.9252
201.27,-31.6201
201.275,-24.7301
201.28,-17.2299
201.285,-10.8885
201.29,-4.42438
201.295,2.4853
201.3,8.15761
201.305,13.0869
201.31,18.941
201.315,25.1298
201.32,32.0324
201.325,41.3435
201.33,52.1802
201.335,62.8151
201.34,74.4959
201.345,87.7419
201.35,100.662
201.355,113.406
201.36,126.764
201.365,138.877
201.37,148.993
201.375,158.586
201.38,166.206
201.385,169.454
201.39,169.226
201.395,165.648
201.4,156.737
201.405,142.977
201.41,126.036
201.415,105.579
201.42,82.9197
201.425,61.1207
201.43,40.6574
201.435,20.8497
201.44,3.56182
201.445,-10.5775
201.45,-23.1562
201.455,-33.3438
201.46,-40.0276
201.465,-45.0589
201.47,-49.2646
201.475,-51.5172
201.48,-53.0245
201.485,-54.8484
201.49,-55.2004
201.495,-53.8676
201.5,-52.8075
201.505,-52.0382
201.51,-50.4856
201.515,-49.2767
